Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
axicabtagene ciloleucel,Yescarta,03/27/2014,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,Treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Limitations of Use: Yescarta is not indicated for the treatment of patients with primary central nervous system lymphoma.,4/01/22,,,"Kite Pharma, Inc.",2225 Colorado Avenue,,Santa Monica,California,90404,United States,423914
axicabtagene ciloleucel,Yescarta,04/25/2016,Treatment of follicular lymphoma.,Designated/Approved,,Treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Limitations of Use: Yescarta is not indicated for the treatment of patients with primary central nervous system lymphoma.,4/01/22,,,Kite Pharma Inc.,2400 Broadway,,Santa Monica,California,90404,United States,515615
axicabtagene ciloleucel,Yescarta,04/20/2016,Treatment of primary mediastinal B-cell lymphoma.,Designated/Approved,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma",10/18/2017,10/18/2024,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy, treatment of adult patients with relapsed or refractory DLBCL arising from follicular lymphoma after two or more lines of systemic therapy, and treatment of adult patients with relapsed or refractory primary mediastinal B-cell lymphoma after two or more lines of systemic therapy (not including treatment of patients with primary central nervous system lymphoma","Kite Pharma, Inc.",2225 Colorado Avenue,,Santa Monica,California,90404,United States,515915
axicabtagene ciloleucel,Yescarta,03/27/2014,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma",10/18/2017,10/18/2024,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy, treatment of adult patients with relapsed or refractory DLBCL arising from follicular lymphoma after two or more lines of systemic therapy, and treatment of adult patients with relapsed or refractory primary mediastinal B-cell lymphoma after two or more lines of systemic therapy (not including treatment of patients with primary central nervous system lymphoma","Kite Pharma, Inc.",2225 Colorado Avenue,,Santa Monica,California,90404,United States,423914
axicabtagene ciloleucel,Yescarta,04/25/2016,Treatment of follicular lymphoma.,Designated/Approved,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma",10/18/2017,10/18/2024,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy, treatment of adult patients with relapsed or refractory DLBCL arising from follicular lymphoma after two or more lines of systemic therapy, and treatment of adult patients with relapsed or refractory primary mediastinal B-cell lymphoma after two or more lines of systemic therapy (not including treatment of patients with primary central nervous system lymphoma","Kite Pharma, Inc.",2225 Colorado Avenue,,Santa Monica,California,90404,United States,515615
axicabtagene ciloleucel,Yescarta,04/20/2016,Treatment of primary mediastinal B-cell lymphoma.,Designated/Approved,,Treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Limitations of Use: Yescarta is not indicated for the treatment of patients with primary central nervous system lymphoma.,4/01/22,,,"Kite Pharma, Inc.",2225 Colorado Avenue,,Santa Monica,California,90404,United States,515915
azacitidine,Vidaza,07/28/2021,Treatment of Juvenile myelomonocytic leukemia,Designated/Approved,,Treatment of pediatric patients aged one month and older with newly diagnosed juvenile myelomonocytic leukemia (JMML),05/20/2022,,,Celgene Corporation,86 Morris Ave,,Summit,New Jersey,7901,United States,829021
Azacitidine,ONUREG,06/18/2008,Treatment of acute myeloid leukemia,Designated/Approved,,ONUREG is indicated for continued treatment of adult patients with acute myeloid leukemia who achieved first complete remission (CR) or complete remission with incomplete blood count recovery (CRi) following intensive induction chemotherapy and are not able to complete intensive curative therapy,9/01/20,9/01/27,ONUREG is indicated for continued treatment of adult patients with acute myeloid leukemia who achieved first complete remission (CR) or complete remission with incomplete blood count recovery (CRi) following intensive induction chemotherapy and are not able to complete intensive curative therapy,Bristol-Myers Squibb,86 Morris Ave,,Summit,New Jersey,7901,United States,257008
azacitidine,Vidaza,12/03/01,Treatament of myelodysplastic syndromes,Designated/Approved,,"Treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia and requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia",05/19/2004,05/19/2011,,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,150101
aztreonam,Cayston,3/12/02,Inhalation therapy for control of gram-negative bacteria in the respiratory tract of patients with cystic fibrosis,Designated/Approved,,To improve respiratory symptoms in cystic fibrosis (CF) patients with Pseudomonas aeruginosa,02/22/2010,02/22/2017,,Gilead Sciences (formerly Corus Pharma),199 East Blaine St,,Seattle,Washington,98102,United States,155002
baclofen,Lioresal Intrathecal,11/10/87,"Treatment of intractable spasticity caused by spinal cord injury, multiple sclerosis, and other spinal diseases (including spinal ischemia, spinal tumor, transverse myelitis, cervical spondylosis, and degenerative myelopathy).",Designated/Approved,,Management of severe spasticity of spinal cord origin in patients who are unresponsive to oral baclofen therapy or experience intolerable CNS side effects at effective doses.,06/25/1992,06/25/1999,,"Medtronic, Inc.",800 53rd Avenue N.E.,,Minneapolis,Minnesota,55432,United States,23987
baclofen,OZOBAX,12/16/1991,Treatment of intractable spasticity due to multiple sclerosis or spinal cord injury.,Designated/Approved,,"Treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. OZOBAX may also be of some value in patients with spinal cord injuries and other spinal cord diseases.",09/18/2019,,,"Metacel Pharmaceuticals, LLC",244 E Washington Street,,Athens,Georgia,30601,United States,64091
Balsalazide disodium,Colazal,8/12/05,Treatment of pediatric patients with ulcerative colitis,Designated/Approved,,Treatment of mildly to moderately active ulcerative colitis in patients 5 years of age and older. Safety and Effectiveness of Colazal beyond 8 weeks in children (ages 5-17) and 12 weeks in adults have not been established.,12/20/2006,12/20/2013,,"Salix Pharmaceuticals, Inc.",400 Somerset Corporate Blvd,,Bridgewater,New Jersey,8807,United States,208205
Basiliximab,Simulect,12/12/97,Prophylaxis of solid organ rejection.,Designated/Approved,,Prophylaxis of acute organ rejection in patients receiving renal transplantation when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.,5/12/98,5/12/05,,Novartis Pharmaceuticals Corporation,59 Route 10,,East Hanover,New Jersey,7936,United States,109197
bedaquiline,SIRTURO,1/10/05,Treatment of active tuberculosis,Designated/Approved,,SIRTURO is a diarylquinoline antimycobacterial drug indicated as part of combination therapy in adult and pediatric patients (5 years and older and weighing at least 15 kg) with pulmonary multi-drug resistant tuberculosis (MDR-TB). Reserve SIRTURO for use when an effective treatment regimen cannot otherwise be provided.,05/27/2020,05/27/2027,As part of combination therapy in the treatment of pediatric patients 5 years and older to less than 12 years of age and weighing at least 15 kg with pulmonary multi-drug resistant tuberculosis (MDR-TB),"Janssen Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,199304
bedaquiline,SIRTURO,1/10/05,Treatment of active tuberculosis,Designated/Approved,,SIRTURO is a diarylquinoline antimycobacterial drug indicated as part of combination therapy in the treatment of adult and pediatric patients (12 to less than 18 years of age and weighing at least 30 kg) with pulmonary multi-drug resistant tuberculosis (MDR-TB). Reserve SIRTURO for use when an effective treatment regimen cannot otherwise be provided.,8/09/19,8/09/26,As part of combination therapy in the treatment of pediatric patients (12 to less than 18 years of age and weighing at least 30 kg) with pulmonary multi-drug resistant tuberculosis (MDR-TB),"Janssen Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,199304
bedaquiline,SIRTURO,1/10/05,Treatment of active tuberculosis,Designated/Approved,,Part of combination therapy in adults (greater than or equal to 18 years) with pulmonary multi-drug resistant tuberculosis (MDR-TB).,12/28/2012,12/28/2019,,"Janssen Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,199304
belantamab mafodotin-blmf,BLENREP,06/22/2017,Treatment of multiple myeloma,Designated/Approved,,"for the treatment of adults with relapsed or refractory multiple myeloma who have received at least 4 prior therapies, including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent",8/05/20,8/05/27,"for the treatment of adults with relapsed or refractory multiple myeloma who have received at least 4 prior therapies, including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent",GlaxoSmithKline Intellectual Property Development Ltd.,980 GREAT WEST ROAD,,BRENTFORD,MIDDLESEX,TW89GS,United Kingdom,590517
belatacept,Nulojix,02/20/2008,Prophylaxis of organ rejection in renal allograft recipients,Designated/Approved,,Prophylaxis of organ rejection in adult patients receiving kidney transplants,06/15/2011,06/15/2018,,Bristol-Myers Squibb Company,P. O. Box 4000,,Princeton,New Jersey,8543,United States,253907
Belinostat,Beleodaq,9/03/09,Treatment of peripheral T-cell lymphoma (PTCL).,Designated/Approved,,Treatment of patients with relapsed or refractory peripheral T-cell lymphoma,7/03/14,7/03/21,Treatment of patients with relapsed or refractory peripheral T-cell lymphoma,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,8520,United States,289309
belumosudil,Rezurock,10/05/17,Treatment of graft versus host disease (GVHD),Designated/Approved,,Treatment of adult and pediatric patients 12 years and older with chronic graft-versus-host disease (chronic GVHD) after failure of at least two prior lines of systemic therapy,07/16/2021,07/16/2028,Treatment of adult and pediatric patients 12 years and older with chronic graft-versus-host disease (chronic GVHD) after failure of at least two prior lines of systemic therapy,"Kadmon Pharmaceuticals, LLC","55 Cambridge Parkway, Suite 300E",,Cambridge,Massachusetts,2142,United States,606717
belzutifan,Welireg,06/24/2020,Treatment of von Hippel-Lindau disease,Designated/Approved,,"Treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for associated renal cell carcinoma (RCC), central nervous system (CNS) hemangioblastomas, or pancreatic neuroendocrine tumors (pNET), not requiring immediate surgery",08/13/2021,08/13/2028,"Treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for associated renal cell carcinoma (RCC), central nervous system (CNS) hemangioblastomas, or pancreatic neuroendocrine tumors (pNET), not requiring immediate surgery","Merck Sharp & Dohme Corp., a subsidiary of Merck & Co., Inc.",One Merck Drive,,Whitehouse Station,New Jersey,8889,United States,745820
bendamustine for 50 ml admixture,Bendeka,7/02/14,Treatment of chronic lymphocytic leukemia,Designated/Approved,,Treatment of patients with chronic lymphocytic leukemia (CLL). Efficacy relative to first line therapies other than chlorambucil has not been established.,12/07/15,12/07/22,Treatment of patients with CLL,"Eagle Pharmaceuticals, Inc.",50 Tice Blvd,Suite 315,Woodcliff Lake,New Jersey,7677,United States,431814
bendamustine for 50ml admixture,Bendeka,7/02/14,"Treatment of Follicular Lymphoma, Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma, Splenic Marginal Zone Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-Associated Lymphoma Tissue (MALT), and Nodal Marginal Zone Lymphoma (Collectively",Designated/Approved,,Treatment of patients with indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab-containing regimen.,12/07/15,12/07/22,Treatment of patients with indolent B-cell NHL that has progressed during or within six months of treatment with rituximab or a rituximab containing regimen,"Eagle Pharmaceuticals, Inc.",50 Tice Blvd,Suite 315,Woodcliff Lake,New Jersey,7677,United States,430314
bendamustine hydrochloride,Treanda,11/26/2013,"Treatment of Follicular Lymphoma, Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma, Splenic Marginal Zone Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-Associated Lymphoma Tissue (MALT), and Nodal Marginal Zone Lymphoma (Collectively",Designated/Approved,,Treatment of Indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab-containing regimen.,10/31/2008,10/31/2015,,"Cephalon, Inc.",A wholly owned subsidiary of Teva Pharmaceuticals,PO Box 4011,Frazer,Pennsylvania,19355,United States,253107
Bendamustine hydrochloride,Treanda,08/17/2007,Treatment of chronic lymphocytic leukemia,Designated/Approved,,Treatment of patients with chronic lymphocytic leukemia,03/20/2008,03/20/2015,,"Cephalon, Inc.",41 Moores Road,,Frazer,Pennsylvania,19355,United States,244807
benznidazole,,04/14/2014,Treatment of Chagas disease,Designated/Approved,,"Treatment of Chagas disease (American trypanosomiasis), caused by Trypanosoma cruzi, in pediatric patients 2 to 12 years of age.",08/29/2017,08/29/2024,"Treatment of Chagas disease (American trypanosomiasis), caused by Trypanosoma cruzi, in pediatric patients 2 to 12 years of age.","Chemo Research, S.L.",Edificio Nectar,"c/Quintanapalla, 2, 3 planta",Madrid,,,Spain,425214
Benzoate and phenylacetate,Ucephan,01/21/1986,"For adjunctive therapy in the prevention and treatment of hyperammonemia in patients with urea cycle enzymopathy due to carbamylphosphate synthetase, ornithine, transcarbamylase, or argininosuccinate synthetase deficiency.",Designated/Approved,,,12/23/1987,12/23/1994,,ImmunexImmunex,2525 McGaw Avenue,P.O. Box 19791,Irvine,California,92623,United States,11385
benzoate/phenylacetate,Ammonul,11/22/1993,Treatment of acute hyperammonemia and associated encephalopathy in patients with deficiencies in enzymes of the urea cycle.,Designated/Approved,,Adjunctive therapy in the treatment of acute hyperammonemia and associated encephalopathy in patients with deficiencies in enzymes of the urea cycle.,02/17/2005,02/17/2012,,Medicis Pharmaceutical Corp.,8125 N. Hayden Road,,Scottsdale,Alaska,85258,United States,77993
Beractant,Survanta intratracheal suspension,2/05/86,Treatment of neonatal respiratory distress syndrome,Designated/Approved,,Prevention of RDS (hyaline membrane disease) in premature infants less than 1250 grams birthweight or with evidence of surfactant deficiency,7/02/91,7/02/98,,Ross Laboratories,625 Cleveland Avenue,,Columbus,Ohio,43215,United States,10885
Beractant,Survanta intratracheal suspension,2/05/86,Treatment of neonatal respiratory distress syndrome,Designated/Approved,,"Treatment of (""rescue"") of premature infants with RDS confirmed by x-ray and requiring mechanical ventilation",7/01/91,7/01/98,,Ross Laboratories,625 Cleveland Avenue,,Columbus,Ohio,43215,United States,10885
berotralstat,ORLADEYO,11/01/17,Treatment of C1-inhibitor-dependent angioedema (including prevention and treatment of attacks),Designated/Approved,,prophylaxis to prevent attacks of hereditary angioedema (HAE) in adults and pediatric patients 12 years of age and older,12/03/20,12/03/27,prophylaxis to prevent attacks of hereditary angioedema (HAE) in adults and pediatric patients 12 years of age and older,"BioCryst Pharmaceuticals, Inc.",4505 Emperor Blvd,Suite 200,Durham,North Carolina,27703,United States,607617
Betaine,Cystadane,05/16/1994,Treatment of homocystinuria.,Designated/Approved,,Treatment of homocystinuria to decrease elevated homocysteine blood levels.,10/25/1996,10/25/2003,,Orphan Europe SARL,70 Avenue du G_ral de Gaulle,,Puteaux,_e-de-France,,France,81794
bevacizumab,Avastin,05/26/2006,Treatment of malignant glioma,Designated/Approved,,Treatment of glioblastoma with progressive disease following prior therapy,5/05/09,5/05/16,,"Genentech, Inc.","1 DNA Way, MS 241B",,South San Francisco,California,94080,United States,222906
bevacizumab,Avastin,11/02/10,Treatment of primary peritoneal carcinoma.,Designated/Approved,,"Avastin, in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, orprimary peritoneal cancer following initial surgical resection. Avastin, in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who recei",06/13/2018,06/13/2025,"In combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV primary peritoneal cancer following initial surgical resection.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,317810
bevacizumab,Avastin,11/02/10,Treatment of primary peritoneal carcinoma.,Designated/Approved,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensi",12/06/16,12/06/23,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent primary peritoneal cancer.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,317810
bevacizumab,Avastin,2/09/06,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,"Avastin, in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, orprimary peritoneal cancer following initial surgical resection. Avastin, in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who recei",06/13/2018,06/13/2025,"In combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian cancer following initial surgical resection.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,216405
bevacizumab,Avastin,2/09/06,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensi",12/06/16,12/06/23,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian cancer.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,216405
bevacizumab,Avastin,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,"Avastin, in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, orprimary peritoneal cancer following initial surgical resection. Avastin, in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who recei",06/13/2018,06/13/2025,"In combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV fallopian tube cancer following initial surgical resection.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,318010
bevacizumab,Avastin,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who have received no more than 2 prior chemotherapy regimens.",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent fallopian tube cancer who have received no more than 2 prior chemotherapy regimens.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,318010
bevacizumab,Avastin,11/02/10,Treatment of primary peritoneal carcinoma.,Designated/Approved,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent primary peritoneal cancer who received no more than 2 prior chemotherapy regimens","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,317810
bevacizumab,Avastin,2/09/06,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian cancer who have received no more than 2 prior chemotherapy regimens.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,216405
bevacizumab,Avastin,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensi",12/06/16,12/06/23,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent fallopian tube cancer.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,318010
bevacizumab,Avastin,11/06/03,Treatment of renal cell carcinoma,Designated/Approved,,Treatment of renal cell carcinoma in combination with interferon alfa,07/31/2009,07/31/2016,,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,172903
Bexarotene,Targretin,06/18/1999,Treatment of cutaneous T-cell lymphoma.,Designated/Approved,,Treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy.,12/29/1999,12/29/2006,,"Eisai, Inc.",300 Tice Blvd,,Woodcliff Lake,New Jersey,7677,United States,124699
bicarbonate infusate,Normocarb HF,8/09/05,Use in the management of patients undergoing continuous renal replacement therapy with hemofiltration,Designated/Approved,,Use as a replacement solution in Continuous Renal Replacement Therapy (CRRT) to replace water and to correct electrolytes and acid-base imbalances in adults and children,07/26/2006,07/26/2013,,"Dialysis Solutions, Inc.",14 Emmett Place,,Whitby,,,Canada,198904
"bictegravir, emtricitabine, and tenofovir alafenamide",Biktarvy,05/17/2017,Treatment of Human Immunodeficiency Virus type 1 infection in pediatric patients,Designated/Approved,,As a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and pediatric patients weighing at least 14 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and no known substitutions associated with resistance to the individual components of Biktarvy,10/07/21,10/07/28,As a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in pediatric patients weighing 14 kg to less than 25 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and no known substitutions associated with resistance to the individual components of Biktarvy,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,559316
bictegravir/emtricitabine/tenofovir alafenamide,BIKTARVY,05/17/2017,Treatment of Human Immunodeficiency Virus type 1 infection in pediatric patients,Designated/Approved,,BIKTARVY is indicated as a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and pediatric patients weighing at least 25 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral with no history of treatment failure and no known substitutions associated with resistance to the individual components o,06/18/2019,06/18/2026,As a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in pediatric patients weighing at least 25 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral with no history of treatment failure and no known substitutions associated with resistance to the individual components of,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,559316
Bleomycin sulfate,Blenoxane,09/17/1993,Treatment of malignant pleural effusion.,Designated/Approved,,Treatment of malignant pleural effusion.,02/20/1996,02/20/2003,,Bristol-Myers Squibb Pharmaceutical Research Institute,P.O. Box 4000,,Princeton,New Jersey,8543,United States,76193
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,BLINCYTO is indicated for the treatment of B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1% in adults and children.,03/29/2018,03/29/2025,For the treatment of B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1% in adults and children,"Amgen, Inc.",One Amgen Center Dr.,Mail Stop 17-2-A,Thousand Oaks,California,91320,United States,255707
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),08/30/2016,08/30/2023,treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL) in patients weighing less than 45 kg,"Amgen, Inc.",One Amgen Center Dr.,Mail Stop 17-2-A,Thousand Oaks,California,91320,United States,255707
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,Treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).,12/03/14,12/03/21,Treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).,"Amgen, Inc.",One Amgen Center Dr.,Mail Stop 17-2-A,Thousand Oaks,California,91320,United States,255707
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,treatment of relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL) in adults and children,7/11/17,7/11/24,treatment of Philadelphia chromosome-positive relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL) in adults and children,"Amgen, Inc.",One Amgen Center Dr.,Mail Stop 17-2-A,Thousand Oaks,California,91320,United States,255707
bortezomib,Velcade,01/15/2003,Treatment of multiple myeloma,Designated/Approved,,Treatment of multiple myeloma patients who have received at least two prior therapies and have demonstrated disease progression on the last therapy,05/13/2003,05/13/2010,,"Millennium Pharmaceuticals, Inc.",40 Landsdowne Street,,Cambridge,Massachusetts,2139,United States,163002
bortezomib,Velcade,01/15/2003,Treatment of multiple myeloma,Designated/Approved,,Treatment of multiple myeloma patients who have received at least one prior therapy,03/25/2005,03/25/2012,,"Millennium Pharmaceuticals, Inc.",40 Landsdowne Street,,Cambridge,Massachusetts,2139,United States,163002
bortezomib,Velcade,01/15/2003,Treatment of multiple myeloma,Designated/Approved,,First-line therapy of multiple myeloma.,06/20/2008,06/20/2015,,"Millennium Pharmaceuticals, Inc.",40 Landsdowne Street,,Cambridge,Massachusetts,2139,United States,163002
